gmv_decile,aov_decile,users,gmv,orders,aov,gmvpu
4,1,11285,23869210.0,11285,2115.12715994683,2115.12715994683
8,3,6369,4111946.0,6369,645.618778458157,645.618778458157
8,8,15817,8687602.0,42126,206.228979727484,549.257254852374
7,9,12983,10534347.0,72438,145.425701979624,811.395440191019
3,10,366,1034887.0,11184,92.5328147353362,2827.56010928962
3,2,14468,42130058.0,43180,975.684529874942,2911.94760851534
2,3,14670,61180851.0,85544,715.197453941831,4170.47382413088
9,6,18414,6193496.0,18414,336.347127185837,336.347127185837
2,8,3640,14737339.0,71067,207.372465419956,4048.71950549451
2,1,22356,93259761.0,49202,1895.44654688834,4171.57635534085
5,2,5638,9891152.0,11276,877.186236253991,1754.37247250798
3,4,11793,34367136.0,63878,538.012085538057,2914.19791401679
7,5,15940,13574098.0,31880,425.787264742785,851.574529485571
6,7,12809,14707833.0,55776,263.694653614458,1148.24209540167
4,3,14388,30874976.0,43169,715.211749171859,2145.88379204893
6,6,13126,14965412.0,44550,335.923950617284,1140.13499923815
7,7,14065,11499320.0,43806,262.505592841163,817.58407394241
1,8,1569,10555379.0,50586,208.662060649191,6727.45634161887
4,10,808,1697727.0,18943,89.6229213957662,2101.14727722772
5,1,14175,22307064.0,14175,1573.69058201058,1573.69058201058
6,2,16157,17765512.0,16157,1099.55511542984,1099.55511542984
4,6,11177,23775487.0,70982,334.950931222,2127.17965464794
2,6,9063,37360849.0,110824,337.118755865156,4122.3490014344
1,6,6943,50510348.0,148865,339.303046384308,7275.00331268904
1,1,28690,231708373.0,120183,1927.962964812,8076.2765074939
3,8,5690,16343435.0,79191,206.379954792843,2872.30843585237
8,10,10059,5366896.0,68193,78.7015676095787,533.541703946714
1,5,10520,80216415.0,187669,427.435618029616,7625.13450570342
4,5,12746,27298371.0,64502,423.217435118291,2141.72061823317
6,9,9368,10707260.0,72605,147.472763583775,1142.96114432109
5,10,1601,2484363.0,27988,88.7652922681149,1551.75702685821
5,3,13707,20659604.0,27414,753.615087181732,1507.23017436346
5,8,9984,15737377.0,76932,204.562171788073,1576.25971554487
6,8,11668,13529331.0,66391,203.782606076125,1159.52442577991
9,8,14695,5038215.0,25134,200.454165671998,342.852330724736
9,10,18291,5658058.0,79296,71.3536370056497,309.335629544585
2,4,13340,54954798.0,101214,542.956488232853,4119.55007496252
3,1,20924,60519271.0,33849,1787.91902271854,2892.33755496081
8,4,20110,10932923.0,20110,543.656041770264,543.656041770264
3,5,11518,33540480.0,78760,425.856780091417,2912.00555652023
7,2,10216,9256534.0,10216,906.082028191073,906.082028191073
5,6,12389,19576744.0,57709,339.232078185378,1580.17144240859
4,8,7562,16044215.0,78047,205.57119428037,2121.68936789209
10,10,61923,6298927.0,104804,60.1019712988054,101.721928847117
10,9,23034,3347548.0,23034,145.330728488322,145.330728488322
2,9,1296,5208635.0,34238,152.130235410947,4019.00848765432
1,9,389,2516240.0,16354,153.860829154947,6468.48329048843
7,3,15257,11493165.0,15257,753.304384872518,753.304384872518
1,7,3873,27442894.0,101980,269.100745244166,7085.69429382907
7,8,14332,11779611.0,58055,202.904332098872,821.909782305331
5,9,6608,10330542.0,69577,148.476393060925,1563.33868038741
7,10,5360,4305923.0,52064,82.7044214812538,803.343843283582
6,1,4071,5298521.0,4071,1301.52812576762,1301.52812576762
1,3,16385,131342741.0,183581,715.448445100528,8016.03545926152
2,2,18783,77113079.0,75935,1015.51430828998,4105.47191609434
7,4,1442,1396063.0,2884,484.071775312067,968.143550624133
9,7,17850,4732771.0,17850,265.141232492997,265.141232492997
2,7,6622,27095522.0,101196,267.752895371359,4091.74297795228
5,7,12288,19354901.0,72650,266.412952512044,1575.10587565104
3,9,2601,7443540.0,49294,151.002961820911,2861.79930795848
3,7,8514,24539180.0,92133,266.345174910184,2882.21517500587
10,8,16543,3286645.0,16543,198.67285256604,198.67285256604
8,9,17971,9716824.0,66780,145.505001497454,540.69467475377
6,4,15752,17368923.0,31504,551.32437150838,1102.64874301676
5,4,13130,21352488.0,39390,542.078903274943,1626.23670982483
4,7,10154,21675721.0,81684,265.360670388326,2134.69775457948
8,5,8206,3720129.0,8206,453.342554228613,453.342554228613
1,4,13622,107383642.0,197381,544.042445828119,7883.10394949347
2,5,11594,47811193.0,112750,424.046057649667,4123.78756253234
5,5,11980,19064334.0,44545,427.979212032776,1591.34674457429
4,2,16762,35647777.0,33524,1063.35094260828,2126.70188521656
6,5,9689,12013242.0,29067,413.294870471669,1239.88461141501
8,6,7643,4862013.0,15286,318.069671594923,636.139343189847
3,6,10840,31335354.0,92718,337.964084643758,2890.71531365314
8,7,15325,8155291.0,30650,266.078009787928,532.156019575856
6,10,2922,3325497.0,38827,85.6490844000309,1138.08932238193
6,3,5938,7683193.0,11876,646.951246210845,1293.90249242169
4,9,4307,9081052.0,60808,149.339757926589,2108.44021360576
3,3,14786,43341150.0,61173,708.501299592958,2931.2288651427
4,4,12311,26905718.0,49824,540.015213551702,2185.50223377467
9,9,22943,7237392.0,51463,140.632920739172,315.45098722922
7,6,11905,9493806.0,28247,336.099621198711,797.463754724905
2,10,136,530669.0,5839,90.8835417023463,3901.97794117647
1,10,34,238226.0,2690,88.5598513011152,7006.64705882353
1,2,19476,156494773.0,155266,1007.91398632025,8035.26252823988
9,5,9307,3740721.0,9307,401.925539916192,401.925539916192
